# t, hp, hx
1.396781822700000029e-02 -4.200467578599999773e-03 -3.494878900099999755e-07
1.399160964399999950e-02 -3.999245960199999603e-03 -3.631694235399999815e-07
1.401490778699999995e-02 -3.589202104600000207e-03 -3.701518601000000081e-07
1.403870221599999926e-02 -3.155076355200000203e-03 -3.732120782900000056e-07
1.406249985199999920e-02 -2.750780654799999791e-03 -3.534308609100000053e-07
1.408629689999999976e-02 -2.379369758400000021e-03 -2.880930391999999837e-07
1.411009023400000041e-02 -2.079049056700000078e-03 -1.775704378000000051e-07
1.413388653700000004e-02 -1.812421831699999927e-03 -5.314282834399999796e-08
1.415767547199999962e-02 -1.639954692799999985e-03 7.918138962599999847e-08
1.418146209700000063e-02 -1.557038009200000092e-03 1.779825607299999981e-07
1.420524929700000064e-02 -1.520335623799999982e-03 2.988427495900000192e-07
1.422903602299999994e-02 -1.573300449399999985e-03 4.029944293399999876e-07
1.425282347400000024e-02 -1.684239673500000046e-03 4.033483113799999802e-07
1.427661484000000008e-02 -1.896450971700000022e-03 4.816861253700000250e-07
1.430040099200000081e-02 -2.255841484200000156e-03 5.910673052299999674e-07
1.432418906800000079e-02 -2.795082879399999817e-03 5.947671834299999518e-07
1.434797779300000034e-02 -3.406667950099999918e-03 5.128966799199999822e-07
1.437176309200000057e-02 -3.822637944699999908e-03 3.883072552600000018e-07
1.439554702500000019e-02 -3.946626256799999621e-03 2.406664655400000063e-07
1.441933532700000013e-02 -3.812631621699999994e-03 8.241490252399999448e-08
1.444312839400000055e-02 -3.481735339900000198e-03 -7.995445238200000170e-08
1.446692109399999940e-02 -3.090208132600000095e-03 -2.494441577000000256e-07
1.449072172199999953e-02 -2.709656112999999939e-03 -4.083662501099999856e-07
1.451451568700000069e-02 -2.349663461900000118e-03 -5.891659943800000512e-07
1.453830619799999918e-02 -2.053774281599999793e-03 -7.363164100899999693e-07
1.456209242899999916e-02 -1.878625992199999982e-03 -7.960501379599999896e-07
1.458588163000000028e-02 -1.747454733600000039e-03 -6.977271376800000408e-07
1.460967130600000080e-02 -1.562357730300000056e-03 -6.865688729600000083e-07
1.463346028500000021e-02 -1.498005173499999910e-03 -6.415283490100000125e-07
1.465725030499999935e-02 -1.545271598199999923e-03 -4.639836253500000195e-07
1.468104012099999932e-02 -1.581300622699999964e-03 -4.552322558099999867e-07
1.470482688099999935e-02 -1.681156036400000041e-03 -4.139755883199999832e-07
1.472861678100000071e-02 -1.896257368999999977e-03 -2.620715625800000056e-07
1.475240703700000065e-02 -2.257010613099999854e-03 -3.093098179800000134e-08
1.477619320200000003e-02 -2.764969091799999827e-03 2.425363175800000209e-07
1.479998362299999974e-02 -3.281215238000000003e-03 4.964405791799999538e-07
1.482377173300000045e-02 -3.631405790000000189e-03 7.182733567500000126e-07
1.484755973200000030e-02 -3.734130608000000174e-03 8.857830032299999606e-07
1.487135350699999962e-02 -3.594668132699999942e-03 9.957391888000000802e-07
1.489514169000000048e-02 -3.259003397000000048e-03 1.060180740499999994e-06
1.491892862400000068e-02 -2.870612337299999813e-03 1.054008870199999914e-06
1.494271377700000063e-02 -2.504913775499999825e-03 9.424516339500000389e-07
1.496650009300000070e-02 -2.159150448299999858e-03 4.538890607000000198e-07
1.499028828299999935e-02 -1.873424945499999961e-03 1.943047771200000082e-07
1.501376496900000065e-02 -1.631042748200000085e-03 9.244185710899999701e-08
1.503756673599999927e-02 -1.461282281099999993e-03 -2.378395809100000028e-07
1.506135986900000029e-02 -1.353150101599999910e-03 -3.660491164099999933e-07
